year,annual_operating_costs,asset_id,asset_domain,asset_type,scenario
2037,0.0,GS005,gas_network,gas_service,continued_gas
2038,0.0,GS005,gas_network,gas_service,continued_gas
2039,0.0,GS005,gas_network,gas_service,continued_gas
2040,0.0,GS005,gas_network,gas_service,continued_gas
2041,0.0,GS005,gas_network,gas_service,continued_gas
2042,0.0,GS005,gas_network,gas_service,continued_gas
2043,0.0,GS005,gas_network,gas_service,continued_gas
2044,0.0,GS005,gas_network,gas_service,continued_gas
2045,0.0,GS005,gas_network,gas_service,continued_gas
2046,0.0,GS005,gas_network,gas_service,continued_gas
2047,0.0,GS005,gas_network,gas_service,continued_gas
2048,0.0,GS005,gas_network,gas_service,continued_gas
2049,0.0,GS005,gas_network,gas_service,continued_gas
2024,0.0,GS006,gas_network,gas_service,continued_gas
2025,0.0,GS006,gas_network,gas_service,continued_gas
2026,0.0,GS006,gas_network,gas_service,continued_gas
2027,0.0,GS006,gas_network,gas_service,continued_gas
2028,0.0,GS006,gas_network,gas_service,continued_gas
2029,0.0,GS006,gas_network,gas_service,continued_gas
2030,0.0,GS006,gas_network,gas_service,continued_gas
2031,0.0,GS006,gas_network,gas_service,continued_gas
2032,0.0,GS006,gas_network,gas_service,continued_gas
2033,0.0,GS006,gas_network,gas_service,continued_gas
2034,0.0,GS006,gas_network,gas_service,continued_gas
2035,0.0,GS006,gas_network,gas_service,continued_gas
2036,0.0,GS006,gas_network,gas_service,continued_gas
2037,0.0,GS006,gas_network,gas_service,continued_gas
2038,0.0,GS006,gas_network,gas_service,continued_gas
2039,0.0,GS006,gas_network,gas_service,continued_gas
2040,0.0,GS006,gas_network,gas_service,continued_gas
2041,0.0,GS006,gas_network,gas_service,continued_gas
2042,0.0,GS006,gas_network,gas_service,continued_gas
2043,0.0,GS006,gas_network,gas_service,continued_gas
2044,0.0,GS006,gas_network,gas_service,continued_gas
2045,0.0,GS006,gas_network,gas_service,continued_gas
2046,0.0,GS006,gas_network,gas_service,continued_gas
2047,0.0,GS006,gas_network,gas_service,continued_gas
2048,0.0,GS006,gas_network,gas_service,continued_gas
2049,0.0,GS006,gas_network,gas_service,continued_gas
2024,0.0,GS007,gas_network,gas_service,continued_gas
2025,0.0,GS007,gas_network,gas_service,continued_gas
2026,0.0,GS007,gas_network,gas_service,continued_gas
2027,0.0,GS007,gas_network,gas_service,continued_gas
2028,0.0,GS007,gas_network,gas_service,continued_gas
2029,0.0,GS007,gas_network,gas_service,continued_gas
2030,0.0,GS007,gas_network,gas_service,continued_gas
2031,0.0,GS007,gas_network,gas_service,continued_gas
2032,0.0,GS007,gas_network,gas_service,continued_gas
2033,0.0,GS007,gas_network,gas_service,continued_gas
2034,0.0,GS007,gas_network,gas_service,continued_gas
2035,0.0,GS007,gas_network,gas_service,continued_gas
2036,0.0,GS007,gas_network,gas_service,continued_gas
2037,0.0,GS007,gas_network,gas_service,continued_gas
2038,0.0,GS007,gas_network,gas_service,continued_gas
2039,0.0,GS007,gas_network,gas_service,continued_gas
2040,0.0,GS007,gas_network,gas_service,continued_gas
2041,0.0,GS007,gas_network,gas_service,continued_gas
2042,0.0,GS007,gas_network,gas_service,continued_gas
2043,0.0,GS007,gas_network,gas_service,continued_gas
2044,0.0,GS007,gas_network,gas_service,continued_gas
2045,0.0,GS007,gas_network,gas_service,continued_gas
2046,0.0,GS007,gas_network,gas_service,continued_gas
2047,0.0,GS007,gas_network,gas_service,continued_gas
2048,0.0,GS007,gas_network,gas_service,continued_gas
2049,0.0,GS007,gas_network,gas_service,continued_gas
2024,0.0,GS008,gas_network,gas_service,continued_gas
2025,0.0,GS008,gas_network,gas_service,continued_gas
2026,0.0,GS008,gas_network,gas_service,continued_gas
2027,0.0,GS008,gas_network,gas_service,continued_gas
2028,0.0,GS008,gas_network,gas_service,continued_gas
2029,0.0,GS008,gas_network,gas_service,continued_gas
2030,0.0,GS008,gas_network,gas_service,continued_gas
2031,0.0,GS008,gas_network,gas_service,continued_gas
2032,0.0,GS008,gas_network,gas_service,continued_gas
2033,0.0,GS008,gas_network,gas_service,continued_gas
2034,0.0,GS008,gas_network,gas_service,continued_gas
2035,0.0,GS008,gas_network,gas_service,continued_gas
2036,0.0,GS008,gas_network,gas_service,continued_gas
2037,0.0,GS008,gas_network,gas_service,continued_gas
2038,0.0,GS008,gas_network,gas_service,continued_gas
2039,0.0,GS008,gas_network,gas_service,continued_gas
2040,0.0,GS008,gas_network,gas_service,continued_gas
2041,0.0,GS008,gas_network,gas_service,continued_gas
2042,0.0,GS008,gas_network,gas_service,continued_gas
2043,0.0,GS008,gas_network,gas_service,continued_gas
2044,0.0,GS008,gas_network,gas_service,continued_gas
2045,0.0,GS008,gas_network,gas_service,continued_gas
2046,0.0,GS008,gas_network,gas_service,continued_gas
2047,0.0,GS008,gas_network,gas_service,continued_gas
2048,0.0,GS008,gas_network,gas_service,continued_gas
2049,0.0,GS008,gas_network,gas_service,continued_gas
2024,0.0,GS009,gas_network,gas_service,continued_gas
2025,0.0,GS009,gas_network,gas_service,continued_gas
2026,0.0,GS009,gas_network,gas_service,continued_gas
2027,0.0,GS009,gas_network,gas_service,continued_gas
2028,0.0,GS009,gas_network,gas_service,continued_gas
2029,0.0,GS009,gas_network,gas_service,continued_gas
2030,0.0,GS009,gas_network,gas_service,continued_gas
2031,0.0,GS009,gas_network,gas_service,continued_gas
2032,0.0,GS009,gas_network,gas_service,continued_gas
2033,0.0,GS009,gas_network,gas_service,continued_gas
2034,0.0,GS009,gas_network,gas_service,continued_gas
2035,0.0,GS009,gas_network,gas_service,continued_gas
2036,0.0,GS009,gas_network,gas_service,continued_gas
2037,0.0,GS009,gas_network,gas_service,continued_gas
2038,0.0,GS009,gas_network,gas_service,continued_gas
2039,0.0,GS009,gas_network,gas_service,continued_gas
2040,0.0,GS009,gas_network,gas_service,continued_gas
2041,0.0,GS009,gas_network,gas_service,continued_gas
2042,0.0,GS009,gas_network,gas_service,continued_gas
2043,0.0,GS009,gas_network,gas_service,continued_gas
2044,0.0,GS009,gas_network,gas_service,continued_gas
2045,0.0,GS009,gas_network,gas_service,continued_gas
2046,0.0,GS009,gas_network,gas_service,continued_gas
2047,0.0,GS009,gas_network,gas_service,continued_gas
2048,0.0,GS009,gas_network,gas_service,continued_gas
2049,0.0,GS009,gas_network,gas_service,continued_gas
2024,0.0,GS010,gas_network,gas_service,continued_gas
2025,0.0,GS010,gas_network,gas_service,continued_gas
2026,0.0,GS010,gas_network,gas_service,continued_gas
2027,0.0,GS010,gas_network,gas_service,continued_gas
2028,0.0,GS010,gas_network,gas_service,continued_gas
2029,0.0,GS010,gas_network,gas_service,continued_gas
2030,0.0,GS010,gas_network,gas_service,continued_gas
2031,0.0,GS010,gas_network,gas_service,continued_gas
2032,0.0,GS010,gas_network,gas_service,continued_gas
2033,0.0,GS010,gas_network,gas_service,continued_gas
2034,0.0,GS010,gas_network,gas_service,continued_gas
2035,0.0,GS010,gas_network,gas_service,continued_gas
2036,0.0,GS010,gas_network,gas_service,continued_gas
2037,0.0,GS010,gas_network,gas_service,continued_gas
2038,0.0,GS010,gas_network,gas_service,continued_gas
2039,0.0,GS010,gas_network,gas_service,continued_gas
2040,0.0,GS010,gas_network,gas_service,continued_gas
2041,0.0,GS010,gas_network,gas_service,continued_gas
2042,0.0,GS010,gas_network,gas_service,continued_gas
2043,0.0,GS010,gas_network,gas_service,continued_gas
2044,0.0,GS010,gas_network,gas_service,continued_gas
2045,0.0,GS010,gas_network,gas_service,continued_gas
2046,0.0,GS010,gas_network,gas_service,continued_gas
2047,0.0,GS010,gas_network,gas_service,continued_gas
2048,0.0,GS010,gas_network,gas_service,continued_gas
2049,0.0,GS010,gas_network,gas_service,continued_gas
2024,0.0,GS011,gas_network,gas_service,continued_gas
2025,0.0,GS011,gas_network,gas_service,continued_gas
2026,0.0,GS011,gas_network,gas_service,continued_gas
2027,0.0,GS011,gas_network,gas_service,continued_gas
2028,0.0,GS011,gas_network,gas_service,continued_gas
2029,0.0,GS011,gas_network,gas_service,continued_gas
2030,0.0,GS011,gas_network,gas_service,continued_gas
2031,0.0,GS011,gas_network,gas_service,continued_gas
2032,0.0,GS011,gas_network,gas_service,continued_gas
2033,0.0,GS011,gas_network,gas_service,continued_gas
2034,0.0,GS011,gas_network,gas_service,continued_gas
2035,0.0,GS011,gas_network,gas_service,continued_gas
2036,0.0,GS011,gas_network,gas_service,continued_gas
2037,0.0,GS011,gas_network,gas_service,continued_gas
2038,0.0,GS011,gas_network,gas_service,continued_gas
2039,0.0,GS011,gas_network,gas_service,continued_gas
2040,0.0,GS011,gas_network,gas_service,continued_gas
2041,0.0,GS011,gas_network,gas_service,continued_gas
2042,0.0,GS011,gas_network,gas_service,continued_gas
2043,0.0,GS011,gas_network,gas_service,continued_gas
2044,0.0,GS011,gas_network,gas_service,continued_gas
2045,0.0,GS011,gas_network,gas_service,continued_gas
2046,0.0,GS011,gas_network,gas_service,continued_gas
2047,0.0,GS011,gas_network,gas_service,continued_gas
2048,0.0,GS011,gas_network,gas_service,continued_gas
2049,0.0,GS011,gas_network,gas_service,continued_gas
2024,0.0,GS012,gas_network,gas_service,continued_gas
2025,0.0,GS012,gas_network,gas_service,continued_gas
2026,0.0,GS012,gas_network,gas_service,continued_gas
2027,0.0,GS012,gas_network,gas_service,continued_gas
2028,0.0,GS012,gas_network,gas_service,continued_gas
2029,0.0,GS012,gas_network,gas_service,continued_gas
2030,0.0,GS012,gas_network,gas_service,continued_gas
2031,0.0,GS012,gas_network,gas_service,continued_gas
2032,0.0,GS012,gas_network,gas_service,continued_gas
2033,0.0,GS012,gas_network,gas_service,continued_gas
2034,0.0,GS012,gas_network,gas_service,continued_gas
2035,0.0,GS012,gas_network,gas_service,continued_gas
2036,0.0,GS012,gas_network,gas_service,continued_gas
2037,0.0,GS012,gas_network,gas_service,continued_gas
2038,0.0,GS012,gas_network,gas_service,continued_gas
2039,0.0,GS012,gas_network,gas_service,continued_gas
2040,0.0,GS012,gas_network,gas_service,continued_gas
2041,0.0,GS012,gas_network,gas_service,continued_gas
2042,0.0,GS012,gas_network,gas_service,continued_gas
2043,0.0,GS012,gas_network,gas_service,continued_gas
2044,0.0,GS012,gas_network,gas_service,continued_gas
2045,0.0,GS012,gas_network,gas_service,continued_gas
2046,0.0,GS012,gas_network,gas_service,continued_gas
2047,0.0,GS012,gas_network,gas_service,continued_gas
2048,0.0,GS012,gas_network,gas_service,continued_gas
2049,0.0,GS012,gas_network,gas_service,continued_gas
2024,0.0,GS013,gas_network,gas_service,continued_gas
2025,0.0,GS013,gas_network,gas_service,continued_gas
2026,0.0,GS013,gas_network,gas_service,continued_gas
2027,0.0,GS013,gas_network,gas_service,continued_gas
2028,0.0,GS013,gas_network,gas_service,continued_gas
2029,0.0,GS013,gas_network,gas_service,continued_gas
2030,0.0,GS013,gas_network,gas_service,continued_gas
2031,0.0,GS013,gas_network,gas_service,continued_gas
2032,0.0,GS013,gas_network,gas_service,continued_gas
2033,0.0,GS013,gas_network,gas_service,continued_gas
2034,0.0,GS013,gas_network,gas_service,continued_gas
2035,0.0,GS013,gas_network,gas_service,continued_gas
2036,0.0,GS013,gas_network,gas_service,continued_gas
2037,0.0,GS013,gas_network,gas_service,continued_gas
2038,0.0,GS013,gas_network,gas_service,continued_gas
2039,0.0,GS013,gas_network,gas_service,continued_gas
2040,0.0,GS013,gas_network,gas_service,continued_gas
2041,0.0,GS013,gas_network,gas_service,continued_gas
2042,0.0,GS013,gas_network,gas_service,continued_gas
2043,0.0,GS013,gas_network,gas_service,continued_gas
2044,0.0,GS013,gas_network,gas_service,continued_gas
2045,0.0,GS013,gas_network,gas_service,continued_gas
2046,0.0,GS013,gas_network,gas_service,continued_gas
2047,0.0,GS013,gas_network,gas_service,continued_gas
2048,0.0,GS013,gas_network,gas_service,continued_gas
2049,0.0,GS013,gas_network,gas_service,continued_gas
2024,0.0,GS014,gas_network,gas_service,continued_gas
2025,0.0,GS014,gas_network,gas_service,continued_gas
2026,0.0,GS014,gas_network,gas_service,continued_gas
2027,0.0,GS014,gas_network,gas_service,continued_gas
2028,0.0,GS014,gas_network,gas_service,continued_gas
2029,0.0,GS014,gas_network,gas_service,continued_gas
2030,0.0,GS014,gas_network,gas_service,continued_gas
2031,0.0,GS014,gas_network,gas_service,continued_gas
2032,0.0,GS014,gas_network,gas_service,continued_gas
2033,0.0,GS014,gas_network,gas_service,continued_gas
2034,0.0,GS014,gas_network,gas_service,continued_gas
2035,0.0,GS014,gas_network,gas_service,continued_gas
2036,0.0,GS014,gas_network,gas_service,continued_gas
2037,0.0,GS014,gas_network,gas_service,continued_gas
2038,0.0,GS014,gas_network,gas_service,continued_gas
2039,0.0,GS014,gas_network,gas_service,continued_gas
2040,0.0,GS014,gas_network,gas_service,continued_gas
2041,0.0,GS014,gas_network,gas_service,continued_gas
2042,0.0,GS014,gas_network,gas_service,continued_gas
2043,0.0,GS014,gas_network,gas_service,continued_gas
2044,0.0,GS014,gas_network,gas_service,continued_gas
2045,0.0,GS014,gas_network,gas_service,continued_gas
2046,0.0,GS014,gas_network,gas_service,continued_gas
2047,0.0,GS014,gas_network,gas_service,continued_gas
2048,0.0,GS014,gas_network,gas_service,continued_gas
2049,0.0,GS014,gas_network,gas_service,continued_gas
2024,0.0,GS015,gas_network,gas_service,continued_gas
2025,0.0,GS015,gas_network,gas_service,continued_gas
2026,0.0,GS015,gas_network,gas_service,continued_gas
2027,0.0,GS015,gas_network,gas_service,continued_gas
2028,0.0,GS015,gas_network,gas_service,continued_gas
2029,0.0,GS015,gas_network,gas_service,continued_gas
2030,0.0,GS015,gas_network,gas_service,continued_gas
2031,0.0,GS015,gas_network,gas_service,continued_gas
2032,0.0,GS015,gas_network,gas_service,continued_gas
2033,0.0,GS015,gas_network,gas_service,continued_gas
2034,0.0,GS015,gas_network,gas_service,continued_gas
2035,0.0,GS015,gas_network,gas_service,continued_gas
2036,0.0,GS015,gas_network,gas_service,continued_gas
2037,0.0,GS015,gas_network,gas_service,continued_gas
2038,0.0,GS015,gas_network,gas_service,continued_gas
2039,0.0,GS015,gas_network,gas_service,continued_gas
2040,0.0,GS015,gas_network,gas_service,continued_gas
2041,0.0,GS015,gas_network,gas_service,continued_gas
2042,0.0,GS015,gas_network,gas_service,continued_gas
2043,0.0,GS015,gas_network,gas_service,continued_gas
2044,0.0,GS015,gas_network,gas_service,continued_gas
2045,0.0,GS015,gas_network,gas_service,continued_gas
2046,0.0,GS015,gas_network,gas_service,continued_gas
2047,0.0,GS015,gas_network,gas_service,continued_gas
2048,0.0,GS015,gas_network,gas_service,continued_gas
2049,0.0,GS015,gas_network,gas_service,continued_gas
2024,0.0,GS016,gas_network,gas_service,continued_gas
2025,0.0,GS016,gas_network,gas_service,continued_gas
2026,0.0,GS016,gas_network,gas_service,continued_gas
2027,0.0,GS016,gas_network,gas_service,continued_gas
2028,0.0,GS016,gas_network,gas_service,continued_gas
2029,0.0,GS016,gas_network,gas_service,continued_gas
2030,0.0,GS016,gas_network,gas_service,continued_gas
2031,0.0,GS016,gas_network,gas_service,continued_gas
2032,0.0,GS016,gas_network,gas_service,continued_gas
2033,0.0,GS016,gas_network,gas_service,continued_gas
2034,0.0,GS016,gas_network,gas_service,continued_gas
2035,0.0,GS016,gas_network,gas_service,continued_gas
2036,0.0,GS016,gas_network,gas_service,continued_gas
2037,0.0,GS016,gas_network,gas_service,continued_gas
2038,0.0,GS016,gas_network,gas_service,continued_gas
2039,0.0,GS016,gas_network,gas_service,continued_gas
2040,0.0,GS016,gas_network,gas_service,continued_gas
2041,0.0,GS016,gas_network,gas_service,continued_gas
2042,0.0,GS016,gas_network,gas_service,continued_gas
2043,0.0,GS016,gas_network,gas_service,continued_gas
2044,0.0,GS016,gas_network,gas_service,continued_gas
2045,0.0,GS016,gas_network,gas_service,continued_gas
2046,0.0,GS016,gas_network,gas_service,continued_gas
2047,0.0,GS016,gas_network,gas_service,continued_gas
2048,0.0,GS016,gas_network,gas_service,continued_gas
2049,0.0,GS016,gas_network,gas_service,continued_gas
2024,0.0,GS017,gas_network,gas_service,continued_gas
2025,0.0,GS017,gas_network,gas_service,continued_gas
2026,0.0,GS017,gas_network,gas_service,continued_gas
2027,0.0,GS017,gas_network,gas_service,continued_gas
2028,0.0,GS017,gas_network,gas_service,continued_gas
2029,0.0,GS017,gas_network,gas_service,continued_gas
2030,0.0,GS017,gas_network,gas_service,continued_gas
2031,0.0,GS017,gas_network,gas_service,continued_gas
2032,0.0,GS017,gas_network,gas_service,continued_gas
2033,0.0,GS017,gas_network,gas_service,continued_gas
2034,0.0,GS017,gas_network,gas_service,continued_gas
2035,0.0,GS017,gas_network,gas_service,continued_gas
2036,0.0,GS017,gas_network,gas_service,continued_gas
2037,0.0,GS017,gas_network,gas_service,continued_gas
2038,0.0,GS017,gas_network,gas_service,continued_gas
2039,0.0,GS017,gas_network,gas_service,continued_gas
2040,0.0,GS017,gas_network,gas_service,continued_gas
2041,0.0,GS017,gas_network,gas_service,continued_gas
2042,0.0,GS017,gas_network,gas_service,continued_gas
2043,0.0,GS017,gas_network,gas_service,continued_gas
2044,0.0,GS017,gas_network,gas_service,continued_gas
2045,0.0,GS017,gas_network,gas_service,continued_gas
2046,0.0,GS017,gas_network,gas_service,continued_gas
2047,0.0,GS017,gas_network,gas_service,continued_gas
2048,0.0,GS017,gas_network,gas_service,continued_gas
2049,0.0,GS017,gas_network,gas_service,continued_gas
2024,0.0,GS018,gas_network,gas_service,continued_gas
2025,0.0,GS018,gas_network,gas_service,continued_gas
2026,0.0,GS018,gas_network,gas_service,continued_gas
2027,0.0,GS018,gas_network,gas_service,continued_gas
2028,0.0,GS018,gas_network,gas_service,continued_gas
2029,0.0,GS018,gas_network,gas_service,continued_gas
2030,0.0,GS018,gas_network,gas_service,continued_gas
2031,0.0,GS018,gas_network,gas_service,continued_gas
2032,0.0,GS018,gas_network,gas_service,continued_gas
2033,0.0,GS018,gas_network,gas_service,continued_gas
2034,0.0,GS018,gas_network,gas_service,continued_gas
2035,0.0,GS018,gas_network,gas_service,continued_gas
2036,0.0,GS018,gas_network,gas_service,continued_gas
2037,0.0,GS018,gas_network,gas_service,continued_gas
2038,0.0,GS018,gas_network,gas_service,continued_gas
2039,0.0,GS018,gas_network,gas_service,continued_gas
2040,0.0,GS018,gas_network,gas_service,continued_gas
2041,0.0,GS018,gas_network,gas_service,continued_gas
2042,0.0,GS018,gas_network,gas_service,continued_gas
2043,0.0,GS018,gas_network,gas_service,continued_gas
2044,0.0,GS018,gas_network,gas_service,continued_gas
2045,0.0,GS018,gas_network,gas_service,continued_gas
2046,0.0,GS018,gas_network,gas_service,continued_gas
2047,0.0,GS018,gas_network,gas_service,continued_gas
2048,0.0,GS018,gas_network,gas_service,continued_gas
2049,0.0,GS018,gas_network,gas_service,continued_gas
2024,0.0,GS019,gas_network,gas_service,continued_gas
2025,0.0,GS019,gas_network,gas_service,continued_gas
2026,0.0,GS019,gas_network,gas_service,continued_gas
2027,0.0,GS019,gas_network,gas_service,continued_gas
2028,0.0,GS019,gas_network,gas_service,continued_gas
2029,0.0,GS019,gas_network,gas_service,continued_gas
2030,0.0,GS019,gas_network,gas_service,continued_gas
2031,0.0,GS019,gas_network,gas_service,continued_gas
2032,0.0,GS019,gas_network,gas_service,continued_gas
2033,0.0,GS019,gas_network,gas_service,continued_gas
2034,0.0,GS019,gas_network,gas_service,continued_gas
2035,0.0,GS019,gas_network,gas_service,continued_gas
2036,0.0,GS019,gas_network,gas_service,continued_gas
2037,0.0,GS019,gas_network,gas_service,continued_gas
2038,0.0,GS019,gas_network,gas_service,continued_gas
2039,0.0,GS019,gas_network,gas_service,continued_gas
2040,0.0,GS019,gas_network,gas_service,continued_gas
2041,0.0,GS019,gas_network,gas_service,continued_gas
2042,0.0,GS019,gas_network,gas_service,continued_gas
2043,0.0,GS019,gas_network,gas_service,continued_gas
2044,0.0,GS019,gas_network,gas_service,continued_gas
2045,0.0,GS019,gas_network,gas_service,continued_gas
2046,0.0,GS019,gas_network,gas_service,continued_gas
2047,0.0,GS019,gas_network,gas_service,continued_gas
2048,0.0,GS019,gas_network,gas_service,continued_gas
2049,0.0,GS019,gas_network,gas_service,continued_gas
2024,0.0,GS020,gas_network,gas_service,continued_gas
2025,0.0,GS020,gas_network,gas_service,continued_gas
2026,0.0,GS020,gas_network,gas_service,continued_gas
2027,0.0,GS020,gas_network,gas_service,continued_gas
2028,0.0,GS020,gas_network,gas_service,continued_gas
2029,0.0,GS020,gas_network,gas_service,continued_gas
2030,0.0,GS020,gas_network,gas_service,continued_gas
2031,0.0,GS020,gas_network,gas_service,continued_gas
2032,0.0,GS020,gas_network,gas_service,continued_gas
2033,0.0,GS020,gas_network,gas_service,continued_gas
2034,0.0,GS020,gas_network,gas_service,continued_gas
2035,0.0,GS020,gas_network,gas_service,continued_gas
2036,0.0,GS020,gas_network,gas_service,continued_gas
2037,0.0,GS020,gas_network,gas_service,continued_gas
2038,0.0,GS020,gas_network,gas_service,continued_gas
2039,0.0,GS020,gas_network,gas_service,continued_gas
2040,0.0,GS020,gas_network,gas_service,continued_gas
2041,0.0,GS020,gas_network,gas_service,continued_gas
2042,0.0,GS020,gas_network,gas_service,continued_gas
2043,0.0,GS020,gas_network,gas_service,continued_gas
2044,0.0,GS020,gas_network,gas_service,continued_gas
2045,0.0,GS020,gas_network,gas_service,continued_gas
