year,leaks,asset_id,asset_domain,asset_type,scenario
2049,2.0,F_715268_2938629,building,building_aggregate,continued_gas
2050,2.0,F_715268_2938629,building,building_aggregate,continued_gas
2051,2.0,F_715268_2938629,building,building_aggregate,continued_gas
2052,2.0,F_715268_2938629,building,building_aggregate,continued_gas
2053,2.0,F_715268_2938629,building,building_aggregate,continued_gas
2054,2.0,F_715268_2938629,building,building_aggregate,continued_gas
2055,2.0,F_715268_2938629,building,building_aggregate,continued_gas
2056,2.0,F_715268_2938629,building,building_aggregate,continued_gas
2057,2.0,F_715268_2938629,building,building_aggregate,continued_gas
2058,2.0,F_715268_2938629,building,building_aggregate,continued_gas
2059,2.0,F_715268_2938629,building,building_aggregate,continued_gas
2060,2.0,F_715268_2938629,building,building_aggregate,continued_gas
2061,2.0,F_715268_2938629,building,building_aggregate,continued_gas
2062,2.0,F_715268_2938629,building,building_aggregate,continued_gas
2063,2.0,F_715268_2938629,building,building_aggregate,continued_gas
2064,2.0,F_715268_2938629,building,building_aggregate,continued_gas
2065,2.0,F_715268_2938629,building,building_aggregate,continued_gas
2020,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2021,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2022,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2023,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2024,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2025,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2026,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2027,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2028,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2029,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2030,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2031,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2032,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2033,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2034,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2035,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2036,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2037,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2038,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2039,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2040,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2041,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2042,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2043,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2044,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2045,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2046,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2047,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2048,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2049,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2050,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2051,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2052,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2053,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2054,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2055,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2056,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2057,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2058,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2059,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2060,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2061,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2062,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2063,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2064,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2065,2.0,F_715284_2938843,building,building_aggregate,continued_gas
2020,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2021,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2022,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2023,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2024,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2025,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2026,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2027,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2028,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2029,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2030,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2031,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2032,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2033,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2034,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2035,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2036,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2037,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2038,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2039,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2040,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2041,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2042,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2043,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2044,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2045,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2046,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2047,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2048,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2049,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2050,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2051,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2052,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2053,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2054,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2055,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2056,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2057,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2058,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2059,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2060,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2061,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2062,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2063,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2064,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2065,2.0,F_715382_2938560,building,building_aggregate,continued_gas
2020,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2021,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2022,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2023,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2024,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2025,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2026,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2027,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2028,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2029,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2030,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2031,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2032,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2033,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2034,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2035,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2036,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2037,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2038,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2039,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2040,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2041,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2042,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2043,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2044,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2045,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2046,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2047,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2048,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2049,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2050,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2051,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2052,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2053,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2054,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2055,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2056,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2057,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2058,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2059,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2060,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2061,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2062,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2063,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2064,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2065,2.0,F_715419_2938797,building,building_aggregate,continued_gas
2020,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2021,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2022,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2023,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2024,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2025,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2026,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2027,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2028,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2029,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2030,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2031,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2032,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2033,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2034,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2035,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2036,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2037,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2038,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2039,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2040,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2041,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2042,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2043,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2044,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2045,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2046,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2047,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2048,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2049,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2050,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2051,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2052,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2053,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2054,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2055,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2056,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2057,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2058,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2059,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2060,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2061,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2062,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2063,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2064,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2065,2.0,F_715497_2938593,building,building_aggregate,continued_gas
2020,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2021,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2022,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2023,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2024,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2025,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2026,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2027,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2028,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2029,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2030,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2031,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2032,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2033,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2034,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2035,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2036,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2037,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2038,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2039,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2040,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2041,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2042,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2043,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2044,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2045,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2046,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2047,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2048,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2049,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2050,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2051,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2052,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2053,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2054,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2055,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2056,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2057,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2058,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2059,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2060,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2061,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2062,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2063,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2064,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2065,2.0,F_715583_2938646,building,building_aggregate,continued_gas
2020,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2021,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2022,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2023,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2024,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2025,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2026,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2027,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2028,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2029,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2030,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2031,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2032,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2033,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2034,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2035,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2036,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2037,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2038,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2039,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2040,2.0,F_715583_2938872,building,building_aggregate,continued_gas
2041,2.0,F_715583_2938872,building,building_aggregate,continued_gas
